Rank	Movie	"Release
Date"	Until Date	Distributor	Genre	MPAA	2017 Gross	Tickets Sold
62	Valerian and the City of a Thousand Planets	7/21/2017	8/4/2017	STX Entertainment	Adventure	PG-13	"$40,479,370 "	"4,548,243"
63	King Arthur: Legend of the Sword	5/12/2017	5/26/2017	Warner Bros.	Adventure	PG-13	"$39,175,066 "	"4,401,692"
64	Passengers	12/21/2016	1/4/2017	Sony Pictures	Thriller/Suspense	PG-13	"$38,749,940 "	"4,353,925"
65	Moana	11/23/2016	12/7/2016	Walt Disney	Adventure	PG	"$38,710,930 "	"4,349,542"
66	Jigsaw	10/27/2017	11/10/2017	Lionsgate	Horror	R	"$37,380,988 "	"4,200,111"
67	American Assassin	9/15/2017	9/29/2017	Lionsgate	Thriller/Suspense	R	"$36,249,674 "	"4,072,997"
68	The Foreigner	10/13/2017	10/27/2017	STX Entertainment	Action	R	"$34,140,587 "	"3,836,021"
69	"Everything, Everything"	5/19/2017	6/2/2017	Warner Bros.	Drama	PG-13	"$34,121,140 "	"3,833,835"
70	Wind River	8/4/2017	8/18/2017	Weinstein Co.	Thriller/Suspense	R	"$33,797,213 "	"3,797,439"
71	Monster Trucks	1/13/2017	1/27/2017	Paramount Pictures	Adventure	PG-13	"$33,370,166 "	"3,749,456"
72	Geostorm	10/20/2017	11/3/2017	Warner Bros.	Action	PG-13	"$33,000,045 "	"3,707,870"
73	Fist Fight	2/17/2017	3/3/2017	Warner Bros.	Comedy	R	"$32,187,017 "	"3,616,518"
74	How to Be a Latin Lover	4/28/2017	5/12/2017	Lionsgate	Comedy	PG-13	"$32,149,404 "	"3,612,292"
75	Patriots Day	12/21/2016	1/4/2017	Lionsgate	Thriller/Suspense	R	"$31,257,572 "	"3,512,086"
76	Kidnap	8/4/2017	8/18/2017	Aviron Pictures	Thriller/Suspense	R	"$30,718,107 "	"3,451,472"
77	Underworld: Blood Wars	1/6/2017	1/20/2017	Sony Pictures	Action	R	"$30,405,609 "	"3,416,360"
78	Life	3/24/2017	4/7/2017	Sony Pictures	Thriller/Suspense	R	"$30,223,972 "	"3,395,951"
79	The Mountain Between Us	10/6/2017	10/20/2017	20th Century Fox	Thriller/Suspense	PG-13	"$29,863,957 "	"3,355,500"
80	The Nut Job 2: Nutty by Nature	8/11/2017	8/25/2017	Open Road	Adventure	PG	"$28,370,522 "	"3,187,699"
81	Fences	12/16/2016	12/30/2016	Paramount Pictures	Drama	PG-13	"$27,939,289 "	"3,139,245"
82	Rings	2/3/2017	2/17/2017	Paramount Pictures	Horror	PG-13	"$27,793,018 "	"3,122,811"
83	Logan Lucky	8/18/2017	9/1/2017	Bleecker Street	Comedy	PG-13	"$27,778,642 "	"3,121,195"
84	Home Again	9/8/2017	9/22/2017	Open Road	Romantic Comedy	PG-13	"$27,020,284 "	"3,035,986"
85	Resident Evil: The Final Chapter	1/27/2017	2/10/2017	Sony Pictures	Action	R	"$26,844,692 "	"3,016,257"
86	Why Him?	12/23/2016	1/6/2017	20th Century Fox	Comedy	R	"$25,716,554 "	"2,889,500"
87	The House	6/30/2017	7/14/2017	Warner Bros.	Comedy	R	"$25,584,504 "	"2,874,663"
88	Gifted	4/7/2017	4/21/2017	Fox Searchlight	Drama	PG-13	"$24,801,212 "	"2,786,653"
89	The Star	11/17/2017	12/1/2017	Sony Pictures	Adventure	PG	"$24,159,653 "	"2,714,567"
90	The Bye Bye Man	1/13/2017	1/27/2017	STX Entertainment	Thriller/Suspense	PG-13	"$22,395,806 "	"2,516,382"
91	Rough Night	6/16/2017	6/30/2017	Sony Pictures	Black Comedy	R	"$22,092,592 "	"2,482,313"
92	Victoria and Abdul	9/22/2017	10/6/2017	Focus Features	Drama	PG-13	"$21,972,050 "	"2,468,769"
93	Leap!	8/25/2017	9/8/2017	Weinstein Co.	Adventure	PG	"$21,852,402 "	"2,455,326"
94	My Little Pony: The Movie	10/6/2017	10/20/2017	Lionsgate	Adventure	PG	"$21,827,030 "	"2,452,475"
95	Sleepless	1/13/2017	1/27/2017	Open Road	Thriller/Suspense	R	"$20,783,704 "	"2,335,247"
96	Diary of a Wimpy Kid: The Long Haul	5/19/2017	6/2/2017	20th Century Fox	Adventure	PG	"$20,738,724 "	"2,330,193"
97	The Circle	4/28/2017	5/12/2017	STX Entertainment	Thriller/Suspense	PG-13	"$20,497,844 "	"2,303,128"
98	Manchester-by-the Sea	11/18/2016	12/2/2016	Roadside Attractions	Drama	R	"$19,224,674 "	"2,160,075"
99	Baahubali 2: The Conclusion	4/28/2017	5/12/2017	Great India Films	Action	Not Rated	"$18,985,794 "	"2,133,235"
100	CHiPS	3/24/2017	4/7/2017	Warner Bros.	Action	R	"$18,600,152 "	"2,089,904"
101	Only the Brave	10/20/2017	11/3/2017	Sony Pictures	Drama	PG-13	"$17,856,353 "	"2,006,331"
102	mother!	9/15/2017	9/29/2017	Paramount Pictures	Thriller/Suspense	R	"$17,800,004 "	"2,000,000"
103	The Zookeeper’s Wife	3/31/2017	4/14/2017	Focus Features	Drama	PG-13	"$17,445,186 "	"1,960,133"
104	The Glass Castle	8/11/2017	8/25/2017	Lionsgate	Drama	PG-13	"$17,273,059 "	"1,940,793"
105	Flatliners	9/29/2017	10/13/2017	Sony Pictures	Thriller/Suspense	PG-13	"$16,877,430 "	"1,896,340"
106	Detroit	8/4/2017	8/18/2017	Annapurna Pictures	Drama	R	"$16,790,139 "	"1,886,532"
107	Moonlight	10/21/2016	11/4/2016	A24	Drama	R	"$15,245,163 "	"1,712,939"
108	Assassin’s Creed	12/21/2016	1/4/2017	20th Century Fox	Action	PG-13	"$14,926,384 "	"1,677,121"
109	The Case for Christ	4/7/2017	4/21/2017	Pure Flix Entertainment	Drama	PG	"$14,678,714 "	"1,649,293"
110	Wish Upon	7/14/2017	7/28/2017	Broad Green Pictures	Horror	PG-13	"$14,301,505 "	"1,606,910"
111	It Comes at Night	6/9/2017	6/23/2017	A24	Horror	R	"$13,985,117 "	"1,571,361"
112	Born in China	4/21/2017	5/5/2017	Walt Disney	Documentary	G	"$13,873,211 "	"1,558,787"
113	Lady Bird	11/3/2017	11/17/2017	A24		R	"$13,795,451 "	"1,550,050"
114	Megan Leavey	6/9/2017	6/23/2017	Bleecker Street	Drama	PG-13	"$13,406,304 "	"1,506,326"
115	The Founder	12/31/2016	1/14/2017	Weinstein Co.	Drama	PG-13	"$12,786,243 "	"1,436,656"
116	Battle of the Sexes	9/22/2017	10/6/2017	Fox Searchlight	Drama	PG-13	"$12,598,957 "	"1,415,613"
117	Before I Fall	3/3/2017	3/17/2017	Open Road	Drama	PG-13	"$12,241,072 "	"1,375,401"
118	Night of the Living Dead	10/1/1968	10/15/1968	Walter Reade Organization	Horror	Not Rated	"$12,087,064 "	"1,358,097"
119	Unforgettable	4/21/2017	5/5/2017	Warner Bros.	Thriller/Suspense	R	"$11,368,012 "	"1,277,304"
120	The Beguiled	6/23/2017	7/7/2017	Focus Features	Western	R	"$10,576,669 "	"1,188,389"
121	"Three Billboards Outside Ebbing, Missouri"	11/10/2017	11/24/2017	Fox Searchlight	Black Comedy	Not Rated	"$10,510,520 "	"1,180,957"
122	Live by Night	12/25/2016	1/8/2017	Warner Bros.	Drama	R	"$10,267,009 "	"1,153,596"
123	The Belko Experiment	3/17/2017	3/31/2017	BH Tilt	Horror	R	"$10,166,820 "	"1,142,339"
124	Fantastic Beasts and Where to Find Them	11/18/2016	12/2/2016	Warner Bros.	Adventure	PG-13	"$9,912,317 "	"1,113,743"
125	Thank You for Your Service	10/27/2017	11/10/2017	Universal	Drama	R	"$9,479,390 "	"1,065,100"
126	Rock Dog	2/24/2017	3/10/2017	Lionsgate	Adventure	PG	"$9,420,546 "	"1,058,488"
127	Marshall	10/13/2017	10/27/2017	Open Road	Drama	PG-13	"$8,902,228 "	"1,000,250"
128	The Lost City of Z	4/14/2017	4/28/2017	Bleecker Street	Action	R	"$8,574,339 "	"963,408"
129	Arrival	11/11/2016	11/25/2016	Paramount Pictures	Drama	PG-13	"$8,354,449 "	"938,702"
130	The Promise	4/21/2017	5/5/2017	Open Road	Drama	PG-13	"$8,224,288 "	"924,077"
131	"Roman J. Israel, Esq."	11/17/2017	12/1/2017	Sony Pictures	Drama	PG-13	"$8,173,090 "	"918,324"
132	A Cure for Wellness	2/17/2017	3/3/2017	20th Century Fox	Thriller/Suspense	R	"$8,106,986 "	"910,897"
133	The Space Between Us	2/3/2017	2/17/2017	STX Entertainment	Drama	PG-13	"$7,885,294 "	"885,988"
134	Gold	1/27/2017	2/10/2017	Weinstein Co.	Drama	R	"$7,227,038 "	"812,026"
135	I Am Not Your Negro	2/3/2017	2/17/2017	Magnolia Pictures	Documentary	PG-13	"$7,123,919 "	"800,440"
136	Beatriz at Dinner	6/9/2017	6/23/2017	Roadside Attractions	Drama	R	"$7,115,854 "	"799,534"
137	Let There Be Light	10/27/2017	11/10/2017	Atlas Distribution	Drama	PG-13	"$7,076,028 "	"795,059"
138	Jackie	12/2/2016	12/16/2016	Fox Searchlight	Drama	R	"$6,929,492 "	"778,594"
139	Birth of the Dragon	8/25/2017	9/8/2017	BH Tilt	Action	PG-13	"$6,901,965 "	"775,501"
140	Silence	12/23/2016	1/6/2017	Paramount Pictures	Drama	R	"$6,789,497 "	"762,864"
141	The Snowman	10/20/2017	11/3/2017	Universal	Thriller/Suspense	R	"$6,670,765 "	"749,524"
142	Same Kind of Different as Me	10/20/2017	11/3/2017	Pure Flix Entertainment	Drama	PG-13	"$6,328,114 "	"711,024"
143	Maudie	6/16/2017	6/30/2017	Sony Pictures Classics	Drama	PG-13	"$6,188,932 "	"695,385"
144	Lowriders	5/12/2017	5/26/2017	BH Tilt	Drama	PG-13	"$6,179,955 "	"694,376"
145	All Saints	8/25/2017	9/8/2017	Sony Pictures	Drama	PG	"$5,794,030 "	"651,014"
146	Suburbicon	10/27/2017	11/10/2017	Paramount Pictures	Black Comedy	R	"$5,775,178 "	"648,896"
147	Paris Can Wait	5/12/2017	5/26/2017	Sony Pictures Classics	Romantic Comedy	PG	"$5,608,745 "	"630,196"
148	20th Century Women	12/25/2016	1/8/2017	A24	Drama	R	"$5,486,187 "	"616,425"
149	Collateral Beauty	12/16/2016	12/30/2016	Warner Bros.	Drama	PG-13	"$5,199,275 "	"584,188"
150	Loving Vincent	9/22/2017	10/6/2017	Good Deed Entertainment	Drama	PG-13	"$5,157,116 "	"579,451"
